filepath,class,split
data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\20190820_152626_25020.jpg,Pomegranate_Good,train
data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\20190820_152626_25023.jpg,Pomegranate_Good,train
data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\IMG20200728182243_27586.jpg,Pomegranate_Good,train
data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\20190820_154638.jpg,Pomegranate_Good,train
data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\20190820_152628.jpg,Pomegranate_Good,train
data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\20190820_154256_26449.jpg,Pomegranate_Good,train
data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\20190820_153853.jpg,Pomegranate_Good,train
data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\20190820_153853_26152.jpg,Pomegranate_Good,train
data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\20190820_153853_26155.jpg,Pomegranate_Good,train
data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\20190820_154638_26706.jpg,Pomegranate_Good,train
data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\IMG20200728142618_27170.jpg,Pomegranate_Good,train
data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\20190820_144636_23337.jpg,Pomegranate_Good,train
data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\20190820_151501_24682.jpg,Pomegranate_Good,train
data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\IMG20200728142621_27186.jpg,Pomegranate_Good,train
data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\20190820_145602_23686.jpg,Pomegranate_Good,train
data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\20190820_152421_24998.jpg,Pomegranate_Good,train
data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\IMG20200728181717_27286.jpg,Pomegranate_Good,train
data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\20190820_152753_25189.jpg,Pomegranate_Good,train
data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\20190820_154730_26773.jpg,Pomegranate_Good,train
data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\20190820_144658_23377.jpg,Pomegranate_Good,train
data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\20190820_153814_26090.jpg,Pomegranate_Good,train
data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\20190820_153656.jpg,Pomegranate_Good,train
data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\20190820_153656_25948.jpg,Pomegranate_Good,train
data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\20190820_153656_25951.jpg,Pomegranate_Good,train
data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\20190820_152840.jpg,Pomegranate_Good,train
data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\20190820_152840_25260.jpg,Pomegranate_Good,train
data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\20190820_152840_25263.jpg,Pomegranate_Good,train
data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\20190820_152243_24990.jpg,Pomegranate_Good,train
data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\20190820_144209_23165.jpg,Pomegranate_Good,train
data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\20190820_145628_23713.jpg,Pomegranate_Good,train
data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\20190820_153852_26149.jpg,Pomegranate_Good,train
data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\20190820_153219.jpg,Pomegranate_Good,train
data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\20190820_153219_25556.jpg,Pomegranate_Good,train
data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\20190820_153219_25559.jpg,Pomegranate_Good,train
data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\20190820_151413.jpg,Pomegranate_Good,train
data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\20190820_151413_24632.jpg,Pomegranate_Good,train
data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\20190820_151413_24635.jpg,Pomegranate_Good,train
data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\20190820_154628_26690.jpg,Pomegranate_Good,train
data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\20190820_153629_25890.jpg,Pomegranate_Good,train
data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\20190820_153420_25758.jpg,Pomegranate_Good,train
data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\20190820_151351_24590.jpg,Pomegranate_Good,train
data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\20190820_144023_23114.jpg,Pomegranate_Good,train
data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\20190820_153334_25673.jpg,Pomegranate_Good,train
data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\IMG20200728182243_27585.jpg,Pomegranate_Good,train
data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\20190820_154727_26769.jpg,Pomegranate_Good,train
data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\20190820_152013_24934.jpg,Pomegranate_Good,train
data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\20190820_143630.jpg,Pomegranate_Good,train
data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\20190820_143630_22956.jpg,Pomegranate_Good,train
data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\20190820_143630_22959.jpg,Pomegranate_Good,train
data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\20190820_150331_24093.jpg,Pomegranate_Good,train
data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\IMG20200728182218.jpg,Pomegranate_Good,train
data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\IMG20200728182218_27580.jpg,Pomegranate_Good,train
data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\IMG20200728182218_27583.jpg,Pomegranate_Good,train
data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\20190820_152704.jpg,Pomegranate_Good,train
data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\20190820_152704_25112.jpg,Pomegranate_Good,train
data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\20190820_152704_25115.jpg,Pomegranate_Good,train
data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\20190820_154124.jpg,Pomegranate_Good,train
data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\20190820_154124_26300.jpg,Pomegranate_Good,train
data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\20190820_154124_26303.jpg,Pomegranate_Good,train
data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\IMG20200728125049_01_26921.jpg,Pomegranate_Good,train
data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\20190820_151447_24673.jpg,Pomegranate_Good,train
data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\IMG20200728125552.jpg,Pomegranate_Good,train
data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\20190820_154545.jpg,Pomegranate_Good,train
data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\20190820_154545_26620.jpg,Pomegranate_Good,train
data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\20190820_154545_26623.jpg,Pomegranate_Good,train
data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\IMG20200728142602_27142.jpg,Pomegranate_Good,train
data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\IMG20200728142603_27146.jpg,Pomegranate_Good,train
data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\20190820_153727_26001.jpg,Pomegranate_Good,train
data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\20190820_143944_23097.jpg,Pomegranate_Good,train
data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\IMG20200728181941.jpg,Pomegranate_Good,train
data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\IMG20200728181941_27340.jpg,Pomegranate_Good,train
data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\IMG20200728181941_27343.jpg,Pomegranate_Good,train
data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\20190820_144711_23406.jpg,Pomegranate_Good,train
data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\20190820_153657_25953.jpg,Pomegranate_Good,train
data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\20190820_153124_25481.jpg,Pomegranate_Good,train
data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\20190820_145802_23810.jpg,Pomegranate_Good,train
data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\IMG20200728125535_27053.jpg,Pomegranate_Good,train
data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\IMG20200728125123.jpg,Pomegranate_Good,train
data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\20190820_144616.jpg,Pomegranate_Good,train
data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\20190820_144616_23308.jpg,Pomegranate_Good,train
data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\20190820_144616_23311.jpg,Pomegranate_Good,train
data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\20190820_150158_24044.jpg,Pomegranate_Good,train
data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\20190820_150158_24047.jpg,Pomegranate_Good,train
data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\20190820_153641_25913.jpg,Pomegranate_Good,train
data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\20190820_152628_25025.jpg,Pomegranate_Good,train
data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\20190820_153643_25921.jpg,Pomegranate_Good,train
data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\20190820_144705.jpg,Pomegranate_Good,train
data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\20190820_144705_23388.jpg,Pomegranate_Good,train
data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\20190820_144705_23391.jpg,Pomegranate_Good,train
data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\20190820_153753.jpg,Pomegranate_Good,train
data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\20190820_153753_26048.jpg,Pomegranate_Good,train
data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\20190820_153753_26051.jpg,Pomegranate_Good,train
data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\20190820_150638_24253.jpg,Pomegranate_Good,train
data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\20190820_150402.jpg,Pomegranate_Good,train
data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\20190820_150402_24128.jpg,Pomegranate_Good,train
data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\20190820_150402_24131.jpg,Pomegranate_Good,train
data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\20190820_154241.jpg,Pomegranate_Good,train
data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\20190820_154241_26440.jpg,Pomegranate_Good,train
data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\20190820_154241_26443.jpg,Pomegranate_Good,train
data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\20190820_153717_25985.jpg,Pomegranate_Good,train
data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\20190820_153933_26210.jpg,Pomegranate_Good,train
data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\20190820_150707.jpg,Pomegranate_Good,train
data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\20190820_150707_24300.jpg,Pomegranate_Good,train
data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\20190820_150707_24303.jpg,Pomegranate_Good,train
data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\20190820_145247_23633.jpg,Pomegranate_Good,train
data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\20190820_145658.jpg,Pomegranate_Good,train
data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\20190820_145658_23728.jpg,Pomegranate_Good,train
data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\20190820_145658_23731.jpg,Pomegranate_Good,train
data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\20190820_154107_26265.jpg,Pomegranate_Good,train
data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\20190820_152940_25333.jpg,Pomegranate_Good,train
data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\IMG20200728125443.jpg,Pomegranate_Good,train
data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\IMG20200728125443_26992.jpg,Pomegranate_Good,train
data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\IMG20200728125443_26995.jpg,Pomegranate_Good,train
data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\20190820_144710_23401.jpg,Pomegranate_Good,train
data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\IMG20200728125552_27073.jpg,Pomegranate_Good,train
data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\IMG20200728182307_27610.jpg,Pomegranate_Good,train
data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\20190820_153643_25922.jpg,Pomegranate_Good,train
data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\20190820_153550.jpg,Pomegranate_Good,train
data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\20190820_153550_25848.jpg,Pomegranate_Good,train
data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\20190820_153550_25851.jpg,Pomegranate_Good,train
data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\20190820_153251.jpg,Pomegranate_Good,train
data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\20190820_153251_25604.jpg,Pomegranate_Good,train
data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\20190820_153251_25607.jpg,Pomegranate_Good,train
data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\IMG20200728182312.jpg,Pomegranate_Good,train
data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\IMG20200728182312_27612.jpg,Pomegranate_Good,train
data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\IMG20200728182312_27615.jpg,Pomegranate_Good,train
data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\20190820_154121_26294.jpg,Pomegranate_Good,train
data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\20190820_143759.jpg,Pomegranate_Good,train
data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\20190820_143759_23012.jpg,Pomegranate_Good,train
data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\20190820_143759_23015.jpg,Pomegranate_Good,train
data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\20190820_151325_24566.jpg,Pomegranate_Good,train
data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\20190820_150147_24030.jpg,Pomegranate_Good,train
data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\IMG20200728125452_26997.jpg,Pomegranate_Good,train
data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\20190820_151050.jpg,Pomegranate_Good,train
data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\20190820_151050_24488.jpg,Pomegranate_Good,train
data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\20190820_151050_24491.jpg,Pomegranate_Good,train
data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\20190820_143559_22929.jpg,Pomegranate_Good,train
data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\20190820_151056.jpg,Pomegranate_Good,train
data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\20190820_151056_24496.jpg,Pomegranate_Good,train
data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\20190820_151056_24499.jpg,Pomegranate_Good,train
data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\20190820_154331.jpg,Pomegranate_Good,train
data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\20190820_154331_26508.jpg,Pomegranate_Good,train
data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\20190820_154331_26511.jpg,Pomegranate_Good,train
data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\IMG20200728125100_26934.jpg,Pomegranate_Good,train
data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\20190820_143705_22982.jpg,Pomegranate_Good,train
data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\20190820_154549_26629.jpg,Pomegranate_Good,train
data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\20190820_143919_23081.jpg,Pomegranate_Good,train
data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\20190820_154307.jpg,Pomegranate_Good,train
data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\20190820_154507_26549.jpg,Pomegranate_Good,train
data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\20190820_152854_25268.jpg,Pomegranate_Good,train
data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\20190820_152854_25271.jpg,Pomegranate_Good,train
data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\20190820_152912.jpg,Pomegranate_Good,train
data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\20190820_152912_25296.jpg,Pomegranate_Good,train
data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\20190820_152912_25299.jpg,Pomegranate_Good,train
data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\20190820_151700_24813.jpg,Pomegranate_Good,train
data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\20190820_150616_24241.jpg,Pomegranate_Good,train
data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\IMG20200728142618.jpg,Pomegranate_Good,train
data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\IMG20200728142618_27168.jpg,Pomegranate_Good,train
data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\IMG20200728142618_27171.jpg,Pomegranate_Good,train
data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\IMG20200728125556_27082.jpg,Pomegranate_Good,train
data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\20190820_150146_24026.jpg,Pomegranate_Good,train
data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\20190820_153442_25789.jpg,Pomegranate_Good,train
data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\20190820_154830.jpg,Pomegranate_Good,train
data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\20190820_154830_26880.jpg,Pomegranate_Good,train
data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\20190820_154830_26883.jpg,Pomegranate_Good,train
data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\20190820_150507_24169.jpg,Pomegranate_Good,train
data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\20190820_151403_24613.jpg,Pomegranate_Good,train
data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\IMG20200728125110_01.jpg,Pomegranate_Good,train
data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\IMG20200728181945_01.jpg,Pomegranate_Good,train
data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\20190820_151819_24877.jpg,Pomegranate_Good,train
data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\IMG20200728182146.jpg,Pomegranate_Good,train
data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\20190820_153452_25814.jpg,Pomegranate_Good,train
data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\20190820_151339.jpg,Pomegranate_Good,train
data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\20190820_151339_24568.jpg,Pomegranate_Good,train
data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\20190820_151339_24571.jpg,Pomegranate_Good,train
data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\20190820_151615.jpg,Pomegranate_Good,train
data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\20190820_151615_24772.jpg,Pomegranate_Good,train
data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\20190820_151615_24775.jpg,Pomegranate_Good,train
data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\20190820_154143_26338.jpg,Pomegranate_Good,train
data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\20190820_153812_26081.jpg,Pomegranate_Good,train
data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\20190820_154321_26490.jpg,Pomegranate_Good,train
data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\20190820_145701_23738.jpg,Pomegranate_Good,train
data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\20190820_151509_24690.jpg,Pomegranate_Good,train
data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\20190820_153226_25569.jpg,Pomegranate_Good,train
data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\20190820_152633_25033.jpg,Pomegranate_Good,train
data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\20190820_153452_25813.jpg,Pomegranate_Good,train
data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\20190820_145843.jpg,Pomegranate_Good,train
data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\20190820_145843_23848.jpg,Pomegranate_Good,train
data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\20190820_145843_23851.jpg,Pomegranate_Good,train
data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\20190820_154514_26561.jpg,Pomegranate_Good,train
data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\20190820_144808_23454.jpg,Pomegranate_Good,train
data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\20190820_152742.jpg,Pomegranate_Good,train
data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\20190820_152742_25164.jpg,Pomegranate_Good,train
data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\20190820_152742_25167.jpg,Pomegranate_Good,train
data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\20190820_152937_25325.jpg,Pomegranate_Good,train
data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\20190820_151650_24802.jpg,Pomegranate_Good,train
data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\20190820_153657_25954.jpg,Pomegranate_Good,train
data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\20190820_144829_23462.jpg,Pomegranate_Good,train
data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\20190820_152702_25104.jpg,Pomegranate_Good,train
data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\20190820_152702_25107.jpg,Pomegranate_Good,train
data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\20190820_153553_25858.jpg,Pomegranate_Good,train
data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\20190820_154055_26254.jpg,Pomegranate_Good,train
data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\IMG20200728125535_27052.jpg,Pomegranate_Good,train
data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\IMG20200728125535_27055.jpg,Pomegranate_Good,train
data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\20190820_153642_25918.jpg,Pomegranate_Good,train
data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\20190820_154225_26406.jpg,Pomegranate_Good,train
data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\20190820_153344.jpg,Pomegranate_Good,train
data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\20190820_153344_25684.jpg,Pomegranate_Good,train
data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\20190820_153344_25687.jpg,Pomegranate_Good,train
data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\20190820_150050.jpg,Pomegranate_Good,train
data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\20190820_150050_23916.jpg,Pomegranate_Good,train
data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\20190820_150050_23919.jpg,Pomegranate_Good,train
data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\20190820_150043_23897.jpg,Pomegranate_Good,train
data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\IMG20200728181631.jpg,Pomegranate_Good,train
data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\IMG20200728181631_27188.jpg,Pomegranate_Good,train
data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\IMG20200728181631_27191.jpg,Pomegranate_Good,train
data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\20190820_153359_25713.jpg,Pomegranate_Good,train
data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\20190820_150344_24117.jpg,Pomegranate_Good,train
data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\20190820_144802_23438.jpg,Pomegranate_Good,train
data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\20190820_144719.jpg,Pomegranate_Good,train
data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\20190820_144719_23416.jpg,Pomegranate_Good,train
data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\20190820_144719_23419.jpg,Pomegranate_Good,train
data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\20190820_153316_25646.jpg,Pomegranate_Good,train
data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\20190820_150150_24037.jpg,Pomegranate_Good,train
data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\20190820_144617.jpg,Pomegranate_Good,train
data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\20190820_144617_23312.jpg,Pomegranate_Good,train
data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\20190820_144617_23315.jpg,Pomegranate_Good,train
data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\20190820_151101_24506.jpg,Pomegranate_Good,train
data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\20190820_144428_23270.jpg,Pomegranate_Good,train
data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\20190820_144023.jpg,Pomegranate_Good,train
data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\20190820_144023_23112.jpg,Pomegranate_Good,train
data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\20190820_144023_23115.jpg,Pomegranate_Good,train
data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\20190820_153348_25698.jpg,Pomegranate_Good,train
data\Processed Images_Fruits\Good Quality_Fruits\Pomegranate_Good\20190820_150715.jpg,Pomegranate_Good,train
